account_id,steamid,avatar,avatarmedium,avatarfull,profileurl,personaname,last_login,full_history_time,cheese,fh_unavailable,loccountrycode,last_match_time,name,country_code,fantasy_role,team_id,team_name,team_tag,is_locked,is_pro,locked_until
6922000,76561197967187728,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/5d/5dbe3ad241f5e510ecca321a44cd79f6d10e8a57.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/5d/5dbe3ad241f5e510ecca321a44cd79f6d10e8a57_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/5d/5dbe3ad241f5e510ecca321a44cd79f6d10e8a57_full.jpg,https://steamcommunity.com/profiles/76561197967187728/,small retarded fish,2015-10-02T15:29:33.590Z,2017-08-09T01:29:59.832Z,0,True,,2018-06-24T10:19:44.000Z,pieliedie,,2,350190,Fnatic,Fnatic,True,True,1535785200
8363146,76561197968628874,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee4d2971a2b2d9a5a86e609e5881bf7863126c86.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee4d2971a2b2d9a5a86e609e5881bf7863126c86_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee4d2971a2b2d9a5a86e609e5881bf7863126c86_full.jpg,https://steamcommunity.com/profiles/76561197968628874/,Amomentforever,2015-03-24T01:16:44.748Z,2018-05-29T20:05:29.979Z,0,True,,2017-11-18T01:00:21.000Z,Amoment,,0,5057335,HeroTales,Hero,True,True,1533081600
8591574,76561197968857302,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/f7/f7809b07e01fc3507a6e775b96cc598c1a80e061.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/f7/f7809b07e01fc3507a6e775b96cc598c1a80e061_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/f7/f7809b07e01fc3507a6e775b96cc598c1a80e061_full.jpg,https://steamcommunity.com/profiles/76561197968857302/,󠀡󠀡110,2016-04-11T05:58:44.228Z,2017-12-18T12:29:58.445Z,0,False,US,2018-07-23T02:18:40.000Z,DurpDurp,us,2,1905619,Wheel Whreck While Whistling,Wheel,False,True,1502694000
8712306,76561197968978034,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/25/25a9069454b2baccd2ffab5a1979b09402751d52.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/25/25a9069454b2baccd2ffab5a1979b09402751d52_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/25/25a9069454b2baccd2ffab5a1979b09402751d52_full.jpg,https://steamcommunity.com/profiles/76561197968978034/,diggoo,,2018-07-05T00:19:31.054Z,0,False,FI,2018-06-27T17:04:36.000Z,Trixi,,0,5154470,5 Anchors No Captain,5ANC,True,True,1535785200
9001210,,,,,,,,,,,,,ChrisC,,0,514377,ChrisTest10,CT10test,True,True,1535785200
10019586,76561197970285314,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/6e/6e4a1d802710d3b9502ef35636f8bbacb255dc59_full.jpg,https://steamcommunity.com/id/Malachamavet/,Malachamavet,2018-05-27T18:55:33.674Z,2018-06-18T23:57:25.913Z,0,False,US,2018-07-23T05:14:19.000Z,malachamavet,us,0,3725701,Happy  Feet,HF,False,True,1471168800
10366616,76561197970632344,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/ee42a838030c527ed0a80e278734c756ae71b8aa_full.jpg,https://steamcommunity.com/profiles/76561197970632344/,asd,2016-04-11T03:56:15.700Z,2017-09-22T21:46:38.128Z,0,False,,2018-07-23T02:41:26.000Z,Sneyking,,3,5228654,VGJ Storm,VGJ.Storm,True,True,1535785200
10516239,76561197970781967,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ab/ab4ed9abe125bf97102cea9fdd5ecf98fe792d60.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ab/ab4ed9abe125bf97102cea9fdd5ecf98fe792d60_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ab/ab4ed9abe125bf97102cea9fdd5ecf98fe792d60_full.jpg,https://steamcommunity.com/id/catsansansan/,uu,2017-03-25T20:49:43.533Z,2017-03-25T20:50:37.689Z,0,False,SG,2018-07-21T12:42:57.000Z,cat,,0,4424013,Ten Twenty,1020,True,True,1535785200
11550182,76561197971815910,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/eeaf170801a87bfcfde82e0a9ac087ed83e81c3c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/eeaf170801a87bfcfde82e0a9ac087ed83e81c3c_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/ee/eeaf170801a87bfcfde82e0a9ac087ed83e81c3c_full.jpg,https://steamcommunity.com/id/vanskor/,Notorious Leps,2016-09-06T07:38:29.909Z,2017-12-30T07:15:17.899Z,0,False,RU,2018-07-22T16:57:57.000Z,VANSKOR,,0,4425117,Gambit Esports,Gambit,True,True,1535785200
11865327,76561197972131055,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/18/181f67c89652aa5beb79d4d3d072ddec8bc5d8c7.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/18/181f67c89652aa5beb79d4d3d072ddec8bc5d8c7_medium.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/avatars/18/181f67c89652aa5beb79d4d3d072ddec8bc5d8c7_full.jpg,https://steamcommunity.com/id/nixjke/,Nix,2018-06-23T14:34:49.655Z,2017-12-25T02:42:35.793Z,0,False,,2018-07-09T17:38:17.000Z,Nix,,0,46,Team Empire,Empire,True,True,1535785200
